"applicationId","taId","jobId","applicationTime","status","reviewComment"
"APP-24a935ff","TA-1774710930922","JOB-004","2026-03-28 23:15:59","Pending",""
"APP-c8af8c29","TA-1774710930922","JOB-003","2026-03-28 23:16:04","Pending",""
"APP-6b64ded3","TA-1774710930922","JOB-002","2026-03-28 23:16:06","Pending",""
"APP-026743f5","TA-1774710930922","JOB-001","2026-03-28 23:16:08","Pending",""
"APP-6797da60","TA-1774711224028","JOB-004","2026-03-28 23:20:27","Pending",""
"APP-bbac8ba4","TA-1774711634553","JOB-004","2026-03-28 23:27:27","Pending",""
"APP-8557598f","TA-1774713462607","JOB-004","2026-03-28 23:57:50","Pending",""
"APP-8b53e5a3","TA-1774713746306","JOB-004","2026-03-29 00:02:32","Pending",""
"APP-c17ddc4c","TA-1774713746306","JOB-003","2026-03-29 00:06:46","Pending",""
"APP-3e1324b3","TA-1774776929876","JOB-5f77efa1","2026-03-29 17:36:46","Approved","good"
"APP-6aeda6d8","TA-1774971218146","JOB-748008e9","2026-03-31 23:34:40","Approved","yes"
"APP-325da1b2","TA-1774975811310","JOB-748008e9","2026-04-01 00:51:13","Rejected","no"
"APP-0e161406","TA-1774976282125","JOB-748008e9","2026-04-01 00:58:29","Approved","yes!"
"APP-52238668","TA-1774976282125","JOB-5f77efa1","2026-04-01 01:03:45","Pending",""
"APP-d120ae17","TA-1774713462607","JOB-748008e9","2026-04-01 01:07:48","Approved","yues"
